Nombre de la Universidad;Rama de estudios;Nombre de la titulación;Nota de corte ordinaria del grupo 1
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Ciencia de Datos e Inteligencia Artificial (Campus Sur);12,139
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Ciencia de Datos e Inteligencia Artificial (Campus de Montegancedo);11,899
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Edificación;7,637
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Fundamentos de la Arquitectura;11,091
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Gestión y Operaciones del Transporte Aéreo;11,478
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Ingeniero/a Aeronáutico/a (PARS);13,411
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Ingeniero/a Agrónomo/a (PARS);10,814
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Ingeniero/a Biomédico/a (PARS);13,150
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Ingeniero/a Industrial (PARS);13,525
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Ingeniero/a Informática (PARS);11,425
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Ingeniero/a Naval y Oceánica (PARS);11,978
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Ingeniero/a Sistemas Informáticos Distribuidos y Embebidos (PARS);8,728
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Ingeniero/a de Caminos, Canales y Puertos (PARS);11,961
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Ingeniero/a de Materiales (PARS);10,728
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Ingeniero/a de Minas (PARS);10,388
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Ingeniero/a de Montes (PARS);8,739
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Ingeniero/a de Telecomunicación (PARS);11,686
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Ingeniero/a del Software (PARS);11,533
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Ingeniería Aeroespacial;12,484
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Ingeniería Agroambiental;5,750
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Ingeniería Agrícola;8,173
